V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
-0.07887538,6.334588,7.5763597,8.54836,10.7612295,10.214278,9.453704,10.026419,8.273045,9.077322,9.593094,10.995899,8.352092,8.545285,9.694416,10.159345,7.4975357,9.594946,9.122995,9.317779,9.102511,9.88893,8.9980545,9.412578,9.292348
-0.14924721,6.1876626,7.531671,8.580897,10.787468,10.25363,9.40409,9.765427,8.227184,9.153879,9.650755,11.023914,8.388777,8.670037,9.708325,10.131629,7.468199,9.922231,9.235976,9.437991,9.117358,9.888257,8.995194,9.438785,9.284998
-0.21600458,6.317732,7.566901,8.530645,10.773471,10.20061,9.438372,9.922263,8.241061,9.1054125,9.609654,11.008774,8.417475,8.574948,9.697264,10.138724,7.4579353,9.634007,9.180712,9.36539,9.114055,9.889547,8.995095,9.43938,9.2932
-0.27738398,6.159284,7.518576,8.563405,10.732714,10.238527,9.39054,9.641402,8.192584,9.034913,9.672278,11.036332,8.458315,8.702614,9.7143135,10.111843,7.4278154,9.943044,9.303766,9.489427,9.12665,9.887224,8.991247,9.476928,9.300438
-0.33227745,6.2976713,7.5567083,8.5134115,10.763643,10.186863,9.425405,9.79078,8.20791,9.0973,9.626933,11.020429,8.477524,8.609388,9.7011795,10.1167345,7.4194355,9.642488,9.253419,9.419458,9.12032,9.888789,8.990412,9.464518,9.289993
-0.27221978,6.126249,7.5046883,8.546521,10.720201,10.224047,9.379388,9.98813,8.158518,9.028451,9.69434,11.047587,8.522493,8.740401,9.7211895,10.137544,7.387559,9.93229,9.140389,9.284868,9.131582,9.884535,8.98549,9.5107765,9.297811
-0.32726657,6.2737207,7.545584,8.496929,10.7543335,10.173594,9.414713,9.774509,8.176011,9.091464,9.645255,11.031179,8.532476,8.649401,9.7063265,10.129367,7.379978,9.621085,9.19428,9.329879,9.152079,9.886713,8.983509,9.623958,9.28777
-0.267318,6.0876985,7.489734,8.530459,10.707784,10.21052,9.370401,9.969975,8.242113,9.024155,9.716801,11.058005,8.5808735,8.53387,9.7292,10.149863,7.346154,9.891509,9.096269,9.21385,9.1660385,9.879838,8.978557,9.629276,9.295992
-0.32204694,6.245002,7.533276,8.481315,10.745253,10.1610775,9.406062,9.75993,8.231589,9.087604,9.664804,11.041317,8.582289,8.641409,9.712961,10.141039,7.337989,9.570669,9.13832,9.245917,9.17887,9.883069,8.974902,9.745464,9.286194
-0.26251665,6.042555,7.473379,8.515305,10.695044,10.1980505,9.363294,9.953997,8.290561,9.021714,9.739408,11.067873,8.633206,8.525275,9.738687,10.161181,7.3031178,9.821734,9.063805,9.350936,9.191343,9.872281,8.97834,9.742152,9.294668
-0.31644392,6.2103953,7.5194564,8.466575,10.736077,10.149397,9.399181,9.74697,8.276915,9.08551,9.68564,11.051107,8.626906,8.632331,9.721437,10.151722,7.292679,9.492037,9.089519,9.282466,9.19901,9.877146,8.976563,9.826038,9.285018
