Episodic reward,Step
11.0,10
34.0,44
20.0,64
10.0,74
83.0,157
21.0,178
19.0,197
16.0,213
29.0,242
31.0,273
34.0,307
14.0,321
18.0,339
25.0,364
32.0,396
31.0,427
12.0,439
24.0,463
14.0,477
25.0,502
32.0,534
27.0,561
32.0,593
20.0,613
13.0,626
17.0,643
90.0,733
10.0,743
11.0,754
15.0,769
15.0,784
13.0,797
46.0,843
15.0,858
27.0,885
24.0,909
11.0,920
10.0,930
12.0,942
36.0,978
21.0,999
10.0,1009
13.0,1022
24.0,1046
16.0,1062
31.0,1093
35.0,1128
20.0,1148
20.0,1168
18.0,1186
19.0,1205
20.0,1225
28.0,1253
26.0,1279
16.0,1295
14.0,1309
24.0,1333
33.0,1366
26.0,1392
12.0,1404
72.0,1476
18.0,1494
34.0,1528
25.0,1553
35.0,1588
35.0,1623
18.0,1641
24.0,1665
58.0,1723
16.0,1739
16.0,1755
48.0,1803
24.0,1827
18.0,1845
24.0,1869
25.0,1894
34.0,1928
42.0,1970
23.0,1993
12.0,2005
23.0,2028
16.0,2044
49.0,2093
13.0,2106
15.0,2121
36.0,2157
31.0,2188
10.0,2198
14.0,2212
18.0,2230
21.0,2251
28.0,2279
59.0,2338
15.0,2353
19.0,2372
30.0,2402
18.0,2420
28.0,2448
48.0,2496
17.0,2513
33.0,2546
13.0,2559
23.0,2582
45.0,2627
53.0,2680
35.0,2715
21.0,2736
16.0,2752
18.0,2770
21.0,2791
22.0,2813
18.0,2831
23.0,2854
20.0,2874
97.0,2971
18.0,2989
16.0,3005
22.0,3027
22.0,3049
42.0,3091
108.0,3199
17.0,3216
110.0,3326
20.0,3346
38.0,3384
19.0,3403
37.0,3440
20.0,3460
20.0,3480
21.0,3501
37.0,3538
13.0,3551
35.0,3586
43.0,3629
16.0,3645
29.0,3674
44.0,3718
60.0,3778
16.0,3794
21.0,3815
27.0,3842
76.0,3918
14.0,3932
17.0,3949
15.0,3964
43.0,4007
11.0,4018
47.0,4065
28.0,4093
32.0,4125
30.0,4155
59.0,4214
34.0,4248
29.0,4277
21.0,4298
20.0,4318
27.0,4345
18.0,4363
27.0,4390
26.0,4416
18.0,4434
22.0,4456
22.0,4478
29.0,4507
26.0,4533
16.0,4549
22.0,4571
26.0,4597
23.0,4620
23.0,4643
28.0,4671
31.0,4702
15.0,4717
43.0,4760
34.0,4794
44.0,4838
28.0,4866
49.0,4915
35.0,4950
47.0,4997
42.0,5039
53.0,5092
10.0,5102
21.0,5123
45.0,5168
66.0,5234
25.0,5259
62.0,5321
17.0,5338
59.0,5397
106.0,5503
51.0,5554
32.0,5586
78.0,5664
12.0,5676
26.0,5702
32.0,5734
32.0,5766
18.0,5784
35.0,5819
22.0,5841
35.0,5876
80.0,5956
22.0,5978
26.0,6004
26.0,6030
28.0,6058
86.0,6144
41.0,6185
38.0,6223
28.0,6251
61.0,6312
41.0,6353
58.0,6411
14.0,6425
44.0,6469
17.0,6486
46.0,6532
34.0,6566
41.0,6607
63.0,6670
30.0,6700
19.0,6719
37.0,6756
16.0,6772
31.0,6803
38.0,6841
34.0,6875
29.0,6904
63.0,6967
29.0,6996
32.0,7028
56.0,7084
69.0,7153
33.0,7186
21.0,7207
56.0,7263
39.0,7302
23.0,7325
42.0,7367
46.0,7413
23.0,7436
33.0,7469
56.0,7525
50.0,7575
36.0,7611
75.0,7686
28.0,7714
57.0,7771
62.0,7833
36.0,7869
50.0,7919
14.0,7933
30.0,7963
46.0,8009
28.0,8037
60.0,8097
46.0,8143
50.0,8193
17.0,8210
38.0,8248
26.0,8274
116.0,8390
40.0,8430
90.0,8520
32.0,8552
34.0,8586
50.0,8636
29.0,8665
58.0,8723
57.0,8780
51.0,8831
48.0,8879
63.0,8942
72.0,9014
92.0,9106
52.0,9158
39.0,9197
24.0,9221
53.0,9274
16.0,9290
26.0,9316
33.0,9349
34.0,9383
30.0,9413
52.0,9465
90.0,9555
32.0,9587
60.0,9647
26.0,9673
