Episodic reward,Step
11.0,10
34.0,44
20.0,64
10.0,74
41.0,115
29.0,144
16.0,160
18.0,178
18.0,196
29.0,225
18.0,243
30.0,273
33.0,306
12.0,318
38.0,356
52.0,408
29.0,437
25.0,462
11.0,473
29.0,502
32.0,534
27.0,561
32.0,593
20.0,613
13.0,626
17.0,643
59.0,702
31.0,733
9.0,742
19.0,761
21.0,782
10.0,792
22.0,814
37.0,851
19.0,870
11.0,881
17.0,898
11.0,909
15.0,924
23.0,947
30.0,977
23.0,1000
9.0,1009
14.0,1023
32.0,1055
23.0,1078
42.0,1120
40.0,1160
35.0,1195
26.0,1221
27.0,1248
12.0,1260
37.0,1297
47.0,1344
32.0,1376
17.0,1393
11.0,1404
37.0,1441
14.0,1455
20.0,1475
18.0,1493
17.0,1510
35.0,1545
15.0,1560
28.0,1588
17.0,1605
29.0,1634
20.0,1654
10.0,1664
61.0,1725
13.0,1738
28.0,1766
24.0,1790
33.0,1823
32.0,1855
52.0,1907
39.0,1946
29.0,1975
39.0,2014
26.0,2040
77.0,2117
56.0,2173
55.0,2228
17.0,2245
38.0,2283
65.0,2348
37.0,2385
13.0,2398
16.0,2414
18.0,2432
17.0,2449
20.0,2469
58.0,2527
18.0,2545
21.0,2566
25.0,2591
14.0,2605
60.0,2665
47.0,2712
25.0,2737
48.0,2785
61.0,2846
16.0,2862
57.0,2919
19.0,2938
33.0,2971
20.0,2991
45.0,3036
53.0,3089
44.0,3133
43.0,3176
74.0,3250
55.0,3305
28.0,3333
20.0,3353
27.0,3380
15.0,3395
61.0,3456
26.0,3482
29.0,3511
67.0,3578
40.0,3618
25.0,3643
24.0,3667
28.0,3695
23.0,3718
95.0,3813
45.0,3858
24.0,3882
29.0,3911
25.0,3936
15.0,3951
12.0,3963
46.0,4009
74.0,4083
44.0,4127
36.0,4163
28.0,4191
20.0,4211
37.0,4248
46.0,4294
38.0,4332
30.0,4362
71.0,4433
18.0,4451
23.0,4474
26.0,4500
48.0,4548
22.0,4570
17.0,4587
24.0,4611
17.0,4628
39.0,4667
59.0,4726
113.0,4839
25.0,4864
43.0,4907
37.0,4944
36.0,4980
20.0,5000
41.0,5041
31.0,5072
27.0,5099
29.0,5128
25.0,5153
121.0,5274
35.0,5309
79.0,5388
76.0,5464
120.0,5584
16.0,5600
33.0,5633
34.0,5667
28.0,5695
26.0,5721
93.0,5814
63.0,5877
45.0,5922
28.0,5950
28.0,5978
39.0,6017
23.0,6040
36.0,6076
74.0,6150
56.0,6206
29.0,6235
23.0,6258
44.0,6302
38.0,6340
43.0,6383
39.0,6422
49.0,6471
17.0,6488
41.0,6529
55.0,6584
94.0,6678
22.0,6700
20.0,6720
122.0,6842
23.0,6865
119.0,6984
35.0,7019
34.0,7053
31.0,7084
69.0,7153
81.0,7234
66.0,7300
44.0,7344
31.0,7375
42.0,7417
62.0,7479
90.0,7569
34.0,7603
34.0,7637
45.0,7682
65.0,7747
28.0,7775
34.0,7809
81.0,7890
52.0,7942
29.0,7971
27.0,7998
58.0,8056
45.0,8101
43.0,8144
61.0,8205
30.0,8235
25.0,8260
113.0,8373
101.0,8474
102.0,8576
29.0,8605
59.0,8664
64.0,8728
138.0,8866
32.0,8898
68.0,8966
32.0,8998
40.0,9038
96.0,9134
68.0,9202
33.0,9235
42.0,9277
184.0,9461
55.0,9516
24.0,9540
152.0,9692
49.0,9741
112.0,9853
61.0,9914
29.0,9943
56.0,9999
32.0,10031
78.0,10109
27.0,10136
80.0,10216
32.0,10248
25.0,10273
25.0,10298
87.0,10385
43.0,10428
79.0,10507
82.0,10589
123.0,10712
111.0,10823
39.0,10862
112.0,10974
72.0,11046
57.0,11103
68.0,11171
45.0,11216
40.0,11256
44.0,11300
27.0,11327
91.0,11418
130.0,11548
112.0,11660
76.0,11736
33.0,11769
64.0,11833
97.0,11930
36.0,11966
33.0,11999
208.0,12207
43.0,12250
57.0,12307
81.0,12388
65.0,12453
39.0,12492
66.0,12558
