V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
0.15834564,44.821857,75.69983,93.194496,98.60156,98.6046,97.84381,97.46588,97.61234,99.98657,100.00142,100.00002,99.732025,99.99714,100.00045,96.298676,99.99713,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.1516513,44.828842,75.82814,93.08692,98.60122,98.608925,97.8589,97.46968,97.611626,99.98716,100.00142,100.00002,99.732025,99.997116,100.00046,96.298645,99.997116,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.1461624,44.933445,75.7066,93.175064,98.602325,98.60634,97.84721,97.466415,97.61221,99.986694,100.001434,100.00002,99.732025,99.99713,100.00045,96.298676,99.99713,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.14326999,44.872784,75.8283,93.23115,98.60199,98.60972,97.860275,97.47005,97.61143,99.98724,100.001434,100.00002,99.732025,99.9971,100.00046,96.29863,99.997116,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.14385435,45.043037,75.713005,93.1838,98.602875,98.60777,97.85002,97.46654,97.61207,99.98679,100.001434,100.00002,99.732025,99.997116,100.00046,96.29866,99.99713,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.14824755,44.895123,75.82801,93.235596,98.60257,98.6103,97.861374,97.47012,97.61118,99.987305,100.00144,100.00002,99.732025,99.99713,100.00045,96.298676,99.997116,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.15631624,45.14271,75.719315,93.19067,98.6033,98.60894,97.8524,97.46626,97.611885,99.98687,100.00145,100.00002,99.732025,99.99713,100.000465,96.29866,99.99712,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
0.16760314,44.881294,75.827446,93.239044,98.60304,98.610664,97.862274,97.46994,97.61088,99.987366,100.00145,100.00002,99.732025,99.99714,100.00046,96.298676,99.997116,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
,45.22119,75.72577,93.19612,98.60362,98.60985,97.854485,97.465576,97.61168,99.986946,100.00145,100.00004,99.732025,99.99713,100.000465,96.29866,99.99712,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
,44.80964,75.82673,93.24176,98.60344,98.60612,97.86301,97.46945,97.61048,99.98741,100.00146,100.00002,99.732025,99.99715,100.00046,96.298676,99.997116,100.00401,99.99966,99.99767,100.00206,99.99909,100.000305,100.00111,100.001976
