Episodic reward,Step
11.0,6
34.0,42
20.0,60
10.0,72
83.0,156
21.0,174
19.0,192
16.0,210
29.0,240
31.0,270
34.0,306
14.0,318
18.0,336
25.0,360
32.0,396
28.0,420
23.0,444
14.0,456
16.0,474
25.0,498
32.0,534
27.0,558
27.0,588
52.0,636
12.0,648
17.0,666
15.0,684
23.0,702
40.0,744
29.0,774
12.0,786
25.0,810
50.0,858
32.0,894
15.0,906
13.0,918
19.0,942
22.0,960
13.0,972
25.0,1002
14.0,1014
34.0,1050
28.0,1074
19.0,1092
36.0,1128
27.0,1158
40.0,1200
39.0,1236
18.0,1254
32.0,1284
12.0,1296
27.0,1326
30.0,1356
23.0,1380
12.0,1392
11.0,1404
29.0,1428
13.0,1446
12.0,1458
25.0,1482
18.0,1500
53.0,1554
14.0,1566
51.0,1614
13.0,1632
20.0,1650
14.0,1662
22.0,1686
18.0,1704
15.0,1716
16.0,1734
46.0,1782
10.0,1788
25.0,1818
48.0,1866
19.0,1884
21.0,1902
15.0,1920
21.0,1938
25.0,1962
19.0,1986
15.0,1998
13.0,2010
24.0,2034
59.0,2094
11.0,2106
19.0,2124
22.0,2148
51.0,2196
16.0,2214
13.0,2226
29.0,2256
19.0,2274
24.0,2298
11.0,2310
29.0,2340
32.0,2370
23.0,2394
14.0,2406
41.0,2448
38.0,2484
32.0,2520
37.0,2556
20.0,2574
26.0,2604
66.0,2670
30.0,2700
17.0,2712
17.0,2730
17.0,2748
23.0,2772
34.0,2808
14.0,2820
17.0,2838
46.0,2880
15.0,2898
15.0,2910
25.0,2940
31.0,2970
16.0,2982
18.0,3000
30.0,3030
52.0,3084
11.0,3096
13.0,3108
41.0,3150
23.0,3174
20.0,3192
14.0,3204
16.0,3222
22.0,3246
18.0,3264
20.0,3282
12.0,3294
19.0,3312
18.0,3330
13.0,3342
23.0,3366
17.0,3384
21.0,3408
18.0,3426
15.0,3438
49.0,3486
19.0,3504
19.0,3528
17.0,3540
24.0,3564
12.0,3576
44.0,3624
17.0,3642
16.0,3654
30.0,3684
16.0,3702
13.0,3714
35.0,3750
29.0,3780
20.0,3798
13.0,3810
14.0,3828
27.0,3852
22.0,3876
56.0,3930
13.0,3942
11.0,3954
29.0,3984
32.0,4014
17.0,4032
16.0,4050
12.0,4062
23.0,4086
14.0,4098
31.0,4128
86.0,4212
28.0,4242
19.0,4260
16.0,4278
15.0,4290
38.0,4332
39.0,4368
11.0,4380
12.0,4392
33.0,4428
17.0,4440
11.0,4452
12.0,4464
28.0,4494
26.0,4518
13.0,4530
27.0,4560
16.0,4578
17.0,4590
28.0,4620
29.0,4650
16.0,4668
11.0,4674
22.0,4698
14.0,4710
13.0,4728
32.0,4758
36.0,4794
12.0,4806
11.0,4818
16.0,4830
20.0,4854
13.0,4866
33.0,4896
21.0,4920
43.0,4962
47.0,5010
23.0,5034
18.0,5052
10.0,5058
54.0,5112
35.0,5148
31.0,5178
