V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
-0.0805806,3.0449116,5.8690996,7.117119,7.4372797,8.762602,10.080241,10.573128,8.876159,9.874421,10.267186,11.064645,10.525901,9.654067,9.58736,9.641256,9.652914,9.753437,9.570635,9.85381,11.652458,9.970158,10.0826645,10.162185,9.84656,9.84637
-0.15074857,3.0515764,5.716811,7.3240747,7.4401574,8.722943,10.076116,10.576809,8.902792,9.881138,10.244852,11.073157,10.513434,9.663839,9.634147,9.645513,9.661101,9.752526,9.585267,9.848772,11.598142,10.0010395,10.075863,10.178164,9.817601,9.91028
-0.217023,3.0566018,5.863179,7.11466,7.4401956,8.757965,10.071812,10.562444,8.8827505,9.887433,10.254676,11.07303,10.521592,9.658687,9.605183,9.641804,9.657793,9.763023,9.578247,9.847793,11.629826,9.976854,10.082483,10.154453,9.84038,9.865145
-0.2776501,3.0192068,5.940248,7.3208275,7.437716,8.712313,10.06631,10.522914,8.908218,9.8892975,10.228728,11.081123,10.508998,9.668347,9.651633,9.645801,9.650121,9.760782,9.592726,9.842644,11.661215,10.007121,10.077928,10.125303,9.807907,9.922211
-0.33151594,3.0409465,5.8596525,7.1040354,7.4422255,8.7505,10.062791,10.539921,8.883833,9.8956175,10.238774,11.080856,10.517603,9.663413,9.622027,9.64231,9.651848,9.7712,9.58513,9.8419695,11.627497,9.984427,10.082593,10.134645,9.833089,9.87936
-0.2720819,3.032358,5.9388156,7.3096986,7.434292,8.772783,10.056551,10.4964485,8.90882,9.894296,10.208495,11.072206,10.504891,9.656502,9.668064,9.646085,9.645263,9.767892,9.599492,9.836654,11.658201,10.013411,10.080324,10.107427,9.856196,9.931311
-0.32578447,3.0171819,5.857046,7.084771,7.4435315,8.752407,10.053757,10.516779,8.879929,9.900789,10.218654,11.076547,10.513919,9.663233,9.638267,9.642802,9.646731,9.778209,9.591385,9.836227,11.625876,9.992804,10.082999,10.11753,9.844129,9.890185
-0.2665667,3.0231078,5.9368634,7.29014,7.429812,8.772779,10.047172,10.470949,8.904872,9.897375,10.183024,11.067578,10.501085,9.654884,9.683805,9.646383,9.641008,9.7740345,9.605668,9.830679,11.656114,9.9537325,10.082945,10.092322,9.863616,9.938291
-0.3196106,2.9844356,5.855305,7.056031,7.4441533,8.752514,10.045014,10.494393,8.871052,9.904076,10.193109,11.071006,10.510506,9.662148,9.654241,9.643306,9.642212,9.784241,9.597114,9.830452,11.625306,9.972104,10.083705,10.1029005,9.853538,9.898421
-0.26087594,3.0043569,5.9343843,7.261236,7.424064,8.771677,10.038314,10.447257,8.896234,9.899291,10.150696,11.0616045,10.49754,9.652622,9.69917,9.646718,9.637164,9.779359,9.611353,9.824594,11.655204,9.934903,10.085723,10.079617,9.8700905,9.94363
