V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
0.1387266,1.9287261,2.5159938,3.0615866,3.4191124,3.8521874,3.762638,4.255985,5.456338,5.036553,6.784689,6.6192446,7.2600365,7.221038,7.9300513,8.2386875,8.15492,8.534845,8.2362385,8.240742,8.515159,8.887948,9.816786,9.5971775,8.647569
0.1338476,1.7207935,2.5331166,2.9746509,3.3287957,3.81849,3.6383028,4.085691,5.3981133,5.058369,6.7563243,6.7043858,7.2730093,7.30181,7.823445,8.256762,8.199996,8.485111,8.278071,8.180418,8.450437,8.792094,9.752253,9.578323,8.582733
0.124402255,1.92757,2.506068,3.0488307,3.414518,3.852455,3.7268443,4.2453446,5.4516244,5.053799,6.780843,6.6392293,7.281646,7.2440596,7.9241314,8.248329,8.165576,8.533459,8.254021,8.235788,8.495433,8.85661,9.800955,9.591057,8.62561
0.11076181,1.7169814,2.5385582,2.9341733,3.312399,3.8234632,3.5579228,4.0662556,5.377285,5.0596094,6.742307,6.715803,7.278183,7.3126135,7.796159,8.259261,8.201486,8.4732485,8.291114,8.242397,8.418747,8.748294,9.836069,9.565125,8.54668
0.09376268,1.925306,2.4963107,3.0273747,3.4077988,3.8519614,3.672006,4.233135,5.4414415,5.067929,6.7850146,6.656879,7.2990556,7.2638597,7.910275,8.255399,8.174376,8.53001,8.269413,8.237815,8.468679,8.818623,9.817863,9.582305,8.596168
0.07435949,1.709687,2.5425737,2.879996,3.2908585,3.8278823,3.4515631,4.0441647,5.3490644,5.057758,6.7379384,6.725184,7.2787547,7.3201146,7.9740324,8.259854,8.200648,8.458185,8.302381,8.236167,8.512717,8.695791,9.844662,9.549245,8.499764
0.053370852,1.9217676,2.4868762,2.9936213,3.3978348,3.8506827,3.591235,4.218926,5.4245996,5.079234,6.7874317,6.6727138,7.3123384,7.2806435,7.9279294,8.260495,8.18123,8.523982,8.283017,8.237777,8.496345,8.77198,9.8285475,9.570885,8.556182
0.031396378,1.698641,2.5455863,2.807951,3.2626705,3.8319087,3.6737745,4.018805,5.3116794,5.0528255,6.731683,6.7328296,7.274318,7.324171,7.98514,8.258939,8.197092,8.438894,8.312269,8.229658,8.529387,8.857971,9.84956,9.530214,8.616592
0.008857098,1.9166558,2.4778035,2.9427812,3.3831065,3.8485363,3.6027224,4.202165,5.399381,5.08783,6.788219,6.687108,7.321191,7.2943296,7.941554,8.26404,8.18578,8.514482,8.295276,8.236613,8.517152,8.815257,9.835012,9.556348,8.589244
-0.013923233,1.6834017,2.5479038,2.71289,3.2258484,3.8356507,3.6808372,3.989415,5.26269,5.044635,6.723441,6.7389016,7.2640395,7.324327,7.99412,8.2567625,8.190123,8.413839,8.321069,8.223414,8.540582,8.889586,9.852175,9.507139,8.638227
,1.9095124,2.4690495,2.8686352,3.3615615,3.8453736,3.614222,4.182145,5.363376,5.093657,6.7873683,6.7003083,7.324886,7.3045235,7.9520373,8.266318,8.18736,8.500134,8.3065195,8.234934,8.532863,8.852212,9.838597,9.537817,8.61547
