Episodic reward,Step
4.0,0
4.0,0
4.0,0
5.0,0
4.0,36
9.0,36
10.0,36
6.0,36
8.0,36
5.0,72
4.0,72
10.0,72
6.0,72
8.0,72
7.0,108
4.0,108
7.0,108
9.0,108
5.0,108
6.0,108
5.0,144
11.0,144
6.0,144
7.0,180
11.0,180
7.0,180
8.0,180
7.0,180
8.0,180
6.0,216
5.0,216
7.0,216
6.0,216
4.0,216
11.0,216
7.0,252
6.0,252
12.0,252
4.0,288
4.0,288
10.0,288
5.0,288
17.0,324
4.0,324
6.0,324
20.0,324
7.0,324
12.0,360
4.0,360
8.0,360
11.0,360
7.0,360
7.0,360
5.0,396
8.0,396
7.0,432
9.0,432
13.0,432
5.0,468
5.0,468
8.0,468
8.0,468
10.0,468
22.0,468
6.0,504
7.0,504
8.0,504
7.0,504
11.0,540
5.0,540
9.0,540
5.0,540
8.0,540
5.0,540
4.0,576
10.0,576
9.0,576
5.0,576
9.0,576
4.0,612
18.0,612
5.0,612
7.0,612
3.0,648
8.0,648
11.0,648
6.0,684
5.0,684
11.0,684
9.0,684
7.0,720
19.0,720
11.0,756
14.0,756
19.0,756
9.0,756
16.0,756
6.0,792
8.0,792
5.0,792
5.0,792
8.0,828
12.0,828
11.0,828
10.0,864
14.0,864
10.0,864
10.0,900
5.0,900
11.0,936
14.0,936
12.0,936
25.0,936
7.0,972
8.0,972
18.0,972
4.0,972
8.0,1008
10.0,1008
14.0,1044
5.0,1044
19.0,1044
10.0,1080
10.0,1080
9.0,1080
23.0,1116
6.0,1116
3.0,1116
15.0,1116
7.0,1152
4.0,1152
8.0,1152
8.0,1188
17.0,1188
7.0,1224
39.0,1224
14.0,1224
4.0,1224
7.0,1260
9.0,1260
5.0,1260
14.0,1260
18.0,1296
6.0,1296
6.0,1296
8.0,1296
30.0,1332
6.0,1332
15.0,1332
6.0,1332
7.0,1368
5.0,1368
4.0,1368
5.0,1404
19.0,1404
13.0,1404
5.0,1440
6.0,1476
23.0,1476
17.0,1512
20.0,1512
27.0,1548
33.0,1548
6.0,1584
4.0,1584
17.0,1584
8.0,1584
11.0,1584
20.0,1584
6.0,1620
7.0,1620
10.0,1656
10.0,1656
16.0,1692
12.0,1692
7.0,1728
5.0,1728
25.0,1728
15.0,1764
4.0,1800
36.0,1800
14.0,1800
15.0,1800
27.0,1800
6.0,1836
9.0,1836
16.0,1872
9.0,1908
18.0,1908
35.0,1944
20.0,1944
12.0,1944
11.0,1980
37.0,2052
23.0,2052
19.0,2088
5.0,2088
10.0,2088
24.0,2124
8.0,2124
30.0,2124
10.0,2124
39.0,2160
7.0,2160
14.0,2196
15.0,2196
6.0,2232
12.0,2232
21.0,2268
15.0,2268
8.0,2268
8.0,2304
27.0,2340
16.0,2376
42.0,2376
15.0,2376
7.0,2412
8.0,2412
30.0,2448
15.0,2448
10.0,2484
19.0,2520
14.0,2520
5.0,2520
18.0,2556
19.0,2556
52.0,2556
15.0,2592
17.0,2664
18.0,2664
15.0,2664
8.0,2664
28.0,2664
7.0,2700
8.0,2700
13.0,2736
38.0,2736
12.0,2772
8.0,2772
13.0,2808
6.0,2808
4.0,2844
9.0,2844
34.0,2880
47.0,2916
46.0,2952
17.0,2988
22.0,2988
11.0,2988
37.0,2988
27.0,3024
8.0,3024
16.0,3060
18.0,3096
25.0,3132
22.0,3168
27.0,3168
30.0,3204
18.0,3204
20.0,3276
18.0,3276
14.0,3312
21.0,3312
14.0,3348
51.0,3384
20.0,3384
18.0,3420
14.0,3420
51.0,3456
24.0,3528
17.0,3528
23.0,3528
14.0,3564
30.0,3564
8.0,3564
44.0,3564
13.0,3636
12.0,3636
17.0,3636
19.0,3672
5.0,3672
10.0,3672
19.0,3672
9.0,3744
10.0,3744
14.0,3744
25.0,3780
36.0,3780
14.0,3816
27.0,3888
18.0,3888
17.0,3924
48.0,3960
15.0,3996
40.0,3996
47.0,4068
21.0,4068
21.0,4068
24.0,4140
17.0,4140
44.0,4248
58.0,4248
26.0,4284
51.0,4392
41.0,4392
20.0,4500
76.0,4500
47.0,4536
44.0,4572
57.0,4608
44.0,4680
25.0,4680
26.0,4680
30.0,4752
31.0,4788
25.0,4824
60.0,4860
27.0,4896
43.0,4932
45.0,4968
38.0,5004
18.0,5040
36.0,5040
30.0,5076
47.0,5148
24.0,5184
18.0,5292
37.0,5292
18.0,5400
21.0,5436
81.0,5436
74.0,5472
16.0,5472
58.0,5508
14.0,5580
97.0,5580
33.0,5616
44.0,5724
42.0,5724
40.0,5796
18.0,5832
58.0,5832
47.0,5868
17.0,5940
63.0,6012
48.0,6012
38.0,6048
30.0,6048
42.0,6048
13.0,6084
17.0,6192
23.0,6192
40.0,6300
40.0,6300
34.0,6372
66.0,6408
27.0,6444
16.0,6480
51.0,6516
5.0,6552
48.0,6588
31.0,6588
118.0,6660
41.0,6696
42.0,6732
34.0,6732
46.0,6840
20.0,6840
39.0,6876
49.0,6876
21.0,7020
36.0,7056
32.0,7092
59.0,7092
50.0,7164
12.0,7164
32.0,7272
34.0,7380
53.0,7380
116.0,7380
22.0,7488
43.0,7524
98.0,7596
53.0,7704
62.0,7776
17.0,7812
62.0,7884
61.0,7956
39.0,8136
107.0,8136
31.0,8172
58.0,8172
77.0,8208
22.0,8280
34.0,8352
202.0,8352
39.0,8388
54.0,8532
48.0,8568
40.0,8640
82.0,8640
56.0,8712
29.0,8820
87.0,8856
55.0,8892
55.0,8892
75.0,9108
56.0,9144
32.0,9288
48.0,9432
111.0,9540
111.0,9540
142.0,9540
125.0,9612
58.0,9648
58.0,9900
69.0,9936
72.0,10044
118.0,10152
89.0,10188
23.0,10188
54.0,10224
49.0,10260
31.0,10368
26.0,10368
151.0,10440
30.0,10548
15.0,10656
82.0,10656
90.0,10692
45.0,10728
70.0,10800
8.0,10836
39.0,10872
32.0,11052
63.0,11052
142.0,11088
78.0,11124
97.0,11304
51.0,11340
52.0,11412
93.0,11448
70.0,11484
46.0,11700
66.0,11700
79.0,11808
132.0,11916
82.0,11952
84.0,11988
51.0,11988
67.0,12096
23.0,12132
52.0,12132
27.0,12168
17.0,12240
59.0,12276
35.0,12312
69.0,12348
40.0,12348
49.0,12456
39.0,12528
51.0,12528
34.0,12564
19.0,12636
49.0,12636
58.0,12780
94.0,12888
60.0,12996
76.0,13032
75.0,13104
63.0,13176
62.0,13248
39.0,13392
78.0,13500
111.0,13644
38.0,13716
208.0,13788
96.0,13824
139.0,13932
48.0,13932
35.0,14148
65.0,14184
84.0,14220
136.0,14220
52.0,14256
78.0,14292
22.0,14364
68.0,14544
59.0,14580
98.0,14760
101.0,14904
60.0,14904
125.0,14976
16.0,15012
125.0,15084
36.0,15192
51.0,15192
57.0,15372
134.0,15408
45.0,15444
125.0,15516
78.0,15552
42.0,15624
54.0,15732
37.0,15732
101.0,15804
48.0,15840
49.0,15912
77.0,15912
53.0,16056
50.0,16128
81.0,16200
37.0,16272
37.0,16344
74.0,16380
41.0,16452
112.0,16524
47.0,16560
32.0,16740
150.0,16812
78.0,16848
82.0,17028
45.0,17028
128.0,17100
118.0,17172
68.0,17208
60.0,17388
75.0,17460
47.0,17496
130.0,17604
46.0,17676
10.0,17712
107.0,17748
53.0,17784
62.0,17856
48.0,18036
147.0,18036
67.0,18108
43.0,18108
87.0,18144
22.0,18252
68.0,18468
74.0,18576
131.0,18576
96.0,18612
89.0,18648
89.0,18792
93.0,19008
77.0,19044
80.0,19152
88.0,19152
78.0,19260
53.0,19440
51.0,19584
37.0,19692
199.0,19764
123.0,19764
110.0,19800
54.0,19908
58.0,20016
193.0,20160
71.0,20196
57.0,20232
95.0,20340
107.0,20448
47.0,20448
94.0,20592
67.0,20592
64.0,20628
18.0,20700
58.0,20772
94.0,20880
80.0,20916
75.0,21060
83.0,21096
63.0,21096
60.0,21132
15.0,21240
70.0,21348
71.0,21528
123.0,21636
50.0,21636
102.0,21672
15.0,21708
102.0,21852
63.0,21888
42.0,21924
68.0,22068
165.0,22068
64.0,22104
43.0,22320
72.0,22356
59.0,22428
68.0,22500
115.0,22536
138.0,22716
74.0,22788
72.0,22788
68.0,22824
58.0,22896
73.0,22968
27.0,23040
54.0,23112
51.0,23256
45.0,23400
116.0,23472
82.0,23544
146.0,23688
81.0,23976
95.0,23976
216.0,24012
96.0,24264
169.0,24264
106.0,24588
124.0,24768
136.0,24768
101.0,24876
65.0,24984
121.0,24984
273.0,25164
72.0,25200
54.0,25200
123.0,25524
106.0,25632
93.0,25740
57.0,25848
152.0,25884
139.0,26028
75.0,26100
164.0,26172
84.0,26352
134.0,26568
117.0,26604
97.0,26604
72.0,26784
156.0,27036
72.0,27036
70.0,27216
180.0,27252
120.0,27324
66.0,27432
69.0,27432
158.0,27504
60.0,27612
38.0,27648
38.0,27720
77.0,27792
75.0,28044
140.0,28044
118.0,28152
63.0,28188
38.0,28296
119.0,28368
51.0,28440
49.0,28584
78.0,28656
118.0,28764
185.0,28836
57.0,28980
83.0,29088
127.0,29124
125.0,29196
96.0,29340
97.0,29412
93.0,29556
89.0,29628
40.0,29664
100.0,29808
88.0,29880
55.0,29880
79.0,30132
170.0,30168
62.0,30168
111.0,30276
66.0,30528
130.0,30636
151.0,30780
119.0,30888
39.0,31032
67.0,31032
173.0,31212
115.0,31212
178.0,31356
78.0,31680
121.0,31752
168.0,31896
116.0,31932
161.0,32004
52.0,32040
41.0,32256
155.0,32292
122.0,32400
45.0,32544
109.0,32544
108.0,32580
45.0,32688
101.0,32868
158.0,33012
128.0,33300
132.0,33372
150.0,33444
84.0,33516
108.0,33516
55.0,33696
61.0,33804
84.0,33804
44.0,34056
120.0,34236
126.0,34452
300.0,34488
171.0,34524
93.0,34632
159.0,34740
68.0,34884
99.0,35028
62.0,35244
108.0,35280
96.0,35316
135.0,35352
53.0,35352
218.0,35568
96.0,35856
116.0,36036
128.0,36036
118.0,36072
141.0,36180
57.0,36180
108.0,36216
57.0,36396
100.0,36612
77.0,36648
84.0,36684
110.0,36864
77.0,36864
149.0,36900
85.0,37368
130.0,37440
117.0,37584
124.0,37656
252.0,38196
275.0,38268
110.0,38304
149.0,38340
72.0,38628
69.0,38700
230.0,38772
200.0,38772
48.0,38916
47.0,39024
124.0,39060
101.0,39276
174.0,39384
77.0,39492
134.0,39852
86.0,39888
141.0,40140
207.0,40176
236.0,40176
117.0,40608
97.0,40716
99.0,40752
163.0,40860
86.0,41220
297.0,41292
185.0,41292
106.0,41400
86.0,41760
80.0,41760
91.0,41832
180.0,41940
223.0,41940
92.0,41940
120.0,42552
146.0,42624
183.0,42840
197.0,43128
216.0,43236
131.0,43344
171.0,43884
380.0,44244
199.0,44316
203.0,44568
247.0,44712
360.0,44784
117.0,44928
202.0,45072
151.0,45216
163.0,45540
104.0,45540
128.0,45576
154.0,45612
102.0,46188
178.0,46296
121.0,46296
130.0,46404
167.0,46548
250.0,46584
42.0,46656
108.0,46836
159.0,47232
132.0,47340
189.0,47412
198.0,48024
246.0,48132
276.0,48240
180.0,48420
176.0,48456
81.0,48960
127.0,48996
183.0,49248
218.0,49320
63.0,49608
126.0,49752
229.0,49788
54.0,50076
240.0,50400
193.0,50472
221.0,51120
263.0,51192
60.0,51480
732.0,51624
288.0,52128
171.0,52200
145.0,52344
324.0,52416
88.0,52668
483.0,52992
156.0,53280
306.0,53460
220.0,53748
259.0,54216
139.0,54288
374.0,54468
91.0,54828
333.0,54972
174.0,55512
310.0,56052
767.0,57888
743.0,58212
109.0,58536
169.0,59220
885.0,60300
1000.0,60840
1000.0,61488
1000.0,62064
592.0,62100
742.0,63684
