V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
0.17472541,5.0833025,5.7607164,7.2964025,9.464166,9.312025,10.205697,10.012963,10.346182,9.7587185,11.122129,10.365452,10.231526,9.722028,8.725543,10.296273,9.882579,10.149137,10.116217,9.370448,9.965703,9.514173,10.375867,9.498634,9.787954
0.1749171,5.08237,5.759628,7.296238,9.46613,9.313255,10.204815,10.013124,10.34459,9.759485,11.121094,10.359206,10.23159,9.722857,8.725404,10.31081,9.890518,10.153511,10.1270275,9.398428,9.978801,9.517686,10.378852,9.500978,9.790835
0.17504364,5.0798016,5.756877,7.2963567,9.464712,9.314275,10.205792,10.013092,10.346454,9.757041,11.124626,10.36817,10.231759,9.722816,8.725526,10.310056,9.889262,10.15819,10.136586,9.369648,9.986227,9.522057,10.383385,9.502755,9.791947
0.17514235,5.0784793,5.7554884,7.296168,9.467031,9.315473,10.205187,10.013083,10.346441,9.755539,11.125194,10.369612,10.231874,9.722984,8.725495,10.307893,9.890752,10.162175,10.145607,9.405265,9.990412,9.525056,10.385313,9.504317,9.792813
0.17519736,5.076094,5.7525196,7.2963777,9.465087,9.316652,10.205858,10.013067,10.346471,9.752748,11.123871,10.372727,10.231975,9.723039,8.725549,10.305027,9.889689,10.165814,10.152503,9.3949175,9.992948,9.527066,10.386433,9.50559,9.793179
0.17516263,5.0745306,5.7509494,7.296091,9.467826,9.317874,10.205413,10.013047,10.346041,9.7501955,11.120929,10.374372,10.232053,9.723082,8.725553,10.301792,9.889273,10.169052,10.157498,9.410891,9.99282,9.528359,10.386655,9.506697,9.79333
0.1749694,5.072288,5.7478843,7.296363,9.465175,9.319074,10.205835,10.013026,10.345343,9.747015,11.116716,10.375782,10.232113,9.723086,8.72558,10.298445,9.887915,10.171926,10.161365,9.40497,9.991423,9.529204,10.386336,9.507639,9.793297
0.17452584,5.0705996,5.746272,7.2958603,9.468418,9.320254,10.205468,10.013003,10.344386,9.743834,11.111611,10.376589,10.232158,9.7230625,8.725594,10.295201,9.886635,10.174472,10.164773,9.410517,9.988518,9.529836,10.3857355,9.508482,9.793211
0.17371228,5.068492,5.743251,7.2961283,9.464831,9.321384,10.205685,10.012977,10.343239,9.740343,11.10599,10.377034,10.232188,9.723012,8.725614,10.292225,9.88499,10.176731,10.168101,9.402905,9.984966,9.530437,10.385098,9.5092535,9.793148
0.17237452,5.066773,5.741743,7.2952147,9.468693,9.322456,10.205345,10.012951,10.341959,9.7368355,11.100206,10.377135,10.232204,9.7229395,8.725627,10.289641,9.883356,10.17874,10.171449,9.402559,9.981004,9.531131,10.38462,9.50999,9.793182
0.17031658,5.0648165,5.7389083,7.2953324,9.463892,9.323454,10.205399,10.012923,10.3406105,9.733232,11.094579,10.376993,10.232209,9.722847,8.725641,10.287526,9.88164,10.180519,10.174747,9.395323,9.977191,9.531983,10.384434,9.510712,9.793354
0.16729456,5.06315,5.737645,7.293662,9.468529,9.324367,10.205062,10.012895,10.339251,9.729687,11.08938,10.376675,10.232205,9.722737,8.725653,10.285925,9.880008,10.182093,10.177844,9.391531,9.97383,9.533011,10.384616,9.511431,9.79369
0.16301574,5.0613728,5.7351255,7.2933,9.462187,9.325191,10.204992,10.012867,10.3379345,9.726211,11.0848255,10.376246,10.232191,9.722616,8.725664,10.28484,9.878465,10.18347,10.180586,9.382206,9.971252,9.534201,10.385192,9.512152,9.794193
0.15714675,5.0598307,5.7342277,7.29026,9.467795,9.325916,10.204653,10.012838,10.336707,9.722901,11.081069,10.37576,10.232168,9.722485,8.725675,10.284256,9.877094,10.184658,10.182847,9.377104,9.969636,9.535506,10.38614,9.512872,9.794854
,5.05827,5.732128,7.2887473,9.459531,9.32654,10.204502,10.012812,10.335608,9.719792,11.078202,10.375263,10.232136,9.722349,8.725682,10.284129,9.87592,10.185658,10.184562,9.368772,9.969097,9.536877,10.387411,9.51358,9.795647
,5.0569177,5.731682,7.2833333,9.466348,9.327063,10.204173,10.012787,10.334661,9.716947,11.076256,10.374785,10.232096,9.722212,8.725687,10.284401,9.87498,10.186473,10.185716,9.364064,9.969645,9.538259,10.388933,9.514271,9.796539
,5.0556126,5.7300744,7.2795506,9.455725,9.327482,10.20398,10.012763,10.333888,9.714395,11.07521,10.37435,10.232048,9.722075,8.725692,10.2850065,9.874285,10.187103,10.186351,9.3557625,9.971216,9.5395975,10.390627,9.514926,9.797497
,5.054505,5.7301283,7.270569,9.4640045,9.327801,10.203674,10.01274,10.333298,9.7121725,11.074992,10.373969,10.231993,9.721942,8.725692,10.2858715,9.873842,10.187556,10.186539,9.353096,9.973691,9.5408535,10.392414,9.515533,9.798483
,5.053492,5.729042,7.263426,9.450581,9.328022,10.203474,10.012722,10.33289,9.7102995,11.075504,10.373647,10.23193,9.721818,8.725691,10.286927,9.873644,10.187835,10.186379,9.347057,9.976901,9.541996,10.3942175,9.516083,9.799467
,5.0526724,5.729605,7.250729,9.460581,9.328147,10.203209,10.012706,10.332658,9.708784,11.076619,10.373382,10.231863,9.721702,8.725686,10.288106,9.873678,10.187953,10.185975,9.347505,9.980663,9.542999,10.395978,9.516562,9.800418
,5.0519824,5.7290297,7.2408624,9.44399,9.328184,10.20303,10.012693,10.33259,9.707627,11.078203,10.373165,10.231789,9.721597,8.7256775,10.289349,9.8739195,10.1879225,10.185422,9.34274,9.984784,9.543858,10.397643,9.516968,9.80131
,5.051483,5.730069,7.2271795,9.455965,9.3281355,10.202818,10.012683,10.33267,9.7068205,11.080119,10.372989,10.23171,9.721504,8.725666,10.290606,9.874339,10.187763,10.184805,9.347371,9.989083,9.544568,10.399177,9.51729,9.802128
,5.0511336,5.7299595,7.2178497,9.436092,9.328011,10.202678,10.012676,10.332878,9.706344,11.08224,10.372838,10.231628,9.721425,8.725651,10.291833,9.874909,10.187491,10.184189,9.344667,9.993396,9.545136,10.400554,9.517531,9.802858
,5.0509725,5.7314134,7.207299,9.4502945,9.327816,10.202527,10.012672,10.333193,9.706177,11.084452,10.372702,10.2315445,9.72136,8.725632,10.293002,9.875594,10.187131,10.183618,9.35299,9.997589,9.545574,10.401762,9.517693,9.803495
,5.0509706,5.731696,7.201222,9.42745,9.3275585,10.202436,10.012671,10.333591,9.706288,11.086655,10.372569,10.231459,9.721309,8.725609,10.294086,9.876362,10.186704,10.183123,9.350906,10.0015545,9.545896,10.402798,9.517777,9.804037
,5.0511484,5.733475,7.195133,9.4440975,9.327248,10.202346,10.012672,10.334055,9.706645,11.088773,10.372432,10.231375,9.7212715,8.725584,10.295072,9.877183,10.186231,10.18272,9.364094,10.005213,9.546118,10.403665,9.517793,9.804481
,5.051485,5.7340603,7.1920896,9.4190445,9.326889,10.202307,10.012676,10.33456,9.707209,11.090747,10.37228,10.231291,9.721246,8.725556,10.29595,9.878027,10.185733,10.18241,9.36219,10.008515,9.546256,10.404372,9.517746,9.804837
,5.0519876,5.7360682,7.189133,9.438216,9.326497,10.202273,10.012682,10.33509,9.707947,11.092537,10.372109,10.23121,9.721235,8.725526,10.296713,9.878873,10.185234,10.182192,9.380291,10.011431,9.546327,10.404933,9.517645,9.805109
,5.052638,5.736857,7.1877756,9.411957,9.326076,10.202277,10.012689,10.335628,9.7088175,11.094114,10.371918,10.231131,9.721233,8.7254925,10.297364,9.8797,10.184746,10.182057,9.376611,10.013955,9.546347,10.405363,9.5175,9.8053055
,5.053435,5.738994,7.186408,9.433458,9.325636,10.202291,10.012697,10.336161,9.709789,11.095463,10.371706,10.231055,9.721242,8.725459,10.297907,9.880487,10.184286,10.181994,9.401441,10.016095,9.546329,10.405681,9.517319,9.805439
,5.0543604,5.739896,7.1858106,9.406892,9.325188,10.202332,10.012706,10.336674,9.710825,11.096581,10.371471,10.230985,9.72126,8.725424,10.298345,9.881229,10.1838665,10.181994,9.394545,10.017871,9.546282,10.4059,9.517114,9.805514
,5.055407,5.742072,7.185098,9.430242,9.3247385,10.202377,10.012715,10.337161,9.711894,11.09747,10.371221,10.230921,9.721285,8.725388,10.298689,9.881911,10.183496,10.182044,9.422399,10.019309,9.546221,10.406036,9.5168915,9.805544
,5.056556,5.7430053,7.1848655,9.403977,9.324297,10.202441,10.012726,10.337611,9.712969,11.098141,10.370956,10.230861,9.721315,8.725353,10.2989435,9.882527,10.183179,10.182131,9.417202,10.020442,9.54615,10.406109,9.516662,9.805536
,5.057795,5.745146,7.184319,9.428543,9.32387,10.202507,10.012736,10.338024,9.714027,11.098601,10.370684,10.230806,9.721352,8.725318,10.29912,9.883076,10.1829195,10.182246,9.431342,10.021308,9.546077,10.406128,9.516431,9.805498
,5.0591054,5.746044,7.1843443,9.402918,9.323465,10.202583,10.012747,10.33839,9.715045,11.098868,10.370406,10.230758,9.721391,8.725284,10.299227,9.883555,10.182718,10.18238,9.422289,10.021943,9.546007,10.406106,9.516204,9.805438
,5.0604715,5.7480903,7.1836967,9.428085,9.32309,10.202656,10.012756,10.338712,9.716008,11.098956,10.370127,10.230715,9.721431,8.72525,10.2992735,9.883965,10.182574,10.182521,9.440847,10.022377,9.545942,10.406053,9.515988,9.805363
