V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
-0.022780608,60.847702,83.37179,78.420135,81.68381,99.97997,93.50733,100.00565,89.77896,92.83669,93.40449,97.99752,98.03519,100.037186,48.375595,95.32013,100.14826,99.98459,100.002205,98.65139,99.99779,100.00011,73.73342,100.07771,100.00213,99.99807
-0.027520139,60.839134,83.36647,78.44747,81.13878,99.98054,93.63044,100.005,89.51576,93.09889,93.41764,98.09633,97.99708,100.039406,48.10208,95.82158,99.95735,99.984604,100.00221,98.651855,99.997955,100.000114,73.605995,100.15757,100.001785,99.99808
-0.032960728,60.841274,83.3714,78.1574,81.01366,99.98025,93.51476,100.00566,89.77406,92.96988,93.4077,98.040146,98.012505,100.03851,47.559864,95.85904,99.97338,99.98459,100.0022,98.6515,99.99784,100.000114,73.34239,100.14616,100.002,99.99808
-0.038928553,60.829685,83.36566,78.154915,80.60218,99.9808,93.62795,100.00497,89.48808,93.22854,93.41946,98.12372,97.96884,100.04042,47.27458,96.202675,99.745544,99.9846,100.00221,98.65193,99.997986,100.000114,73.13467,100.080986,100.001854,99.998085
-0.045292053,60.831566,83.370834,77.882385,80.28381,99.98044,93.51698,100.00566,89.77202,93.08624,93.40931,98.06499,97.983795,100.03954,46.619797,96.25543,99.75755,99.98459,100.0022,98.65163,99.9979,100.000114,73.01406,100.16443,100.002,99.998085
-0.05199784,60.815636,83.36456,77.85951,80.02747,99.98097,93.60937,100.00489,89.47035,93.34064,93.41984,98.136566,97.93141,100.0412,46.332558,96.45655,99.829796,99.98459,100.00221,98.652,99.99799,100.00012,72.797714,100.117676,100.001854,99.998085
-0.059033655,60.817173,83.37007,77.60324,79.49149,99.98056,93.497765,100.00562,89.77507,93.18834,93.40931,98.07434,97.94585,100.040344,45.57551,96.51902,99.67985,99.98459,100.002205,98.65177,99.99796,100.00012,72.61671,100.1689,100.0021,99.998085
-0.066376686,60.794792,83.363075,77.568344,79.50279,99.98109,93.356384,100.00478,89.461,93.43795,93.41874,98.136475,97.8798,100.041794,45.292618,96.59823,99.7463,99.98459,100.00221,98.65135,99.99802,100.000114,72.241806,100.098404,100.0018,99.99809
-0.07396238,60.79576,83.36902,77.32924,79.03831,99.98062,93.38684,100.00556,89.784164,93.27835,93.407616,98.06945,97.89315,100.04096,44.465065,96.66818,99.61478,99.98458,100.002205,98.651764,99.99799,100.00012,71.96047,100.17078,100.00276,99.99809
-0.08167888,60.806965,83.36104,77.289604,79.03182,99.98114,93.25003,100.00465,89.458755,93.52291,93.41593,98.12408,97.91754,100.042274,44.18736,96.642006,99.675026,99.98459,100.00222,98.65135,99.99802,100.00012,71.26258,100.07717,100.00221,99.9981
,60.803413,83.36755,77.07062,78.569725,99.98061,93.27915,100.00547,89.33301,93.35823,93.403984,98.05046,97.87553,100.04146,43.34564,96.71974,99.561104,99.98457,100.00221,98.65178,99.99801,100.00012,70.80864,100.1703,100.003174,99.99809
,60.814552,83.3582,77.03218,78.52233,99.98113,93.150055,100.00446,89.41812,93.59774,93.411064,98.099045,97.90202,100.04265,42.601215,96.5926,99.61455,99.98458,100.00223,98.651375,99.99799,100.00012,69.64297,100.05378,100.00256,99.9981
,60.81344,83.36552,76.83775,78.07848,99.98054,93.17568,100.00533,89.30818,93.42974,93.39794,98.016495,97.8554,100.04185,42.304832,96.682655,99.51759,99.984566,100.00222,98.65181,99.998024,100.00013,68.945465,100.16748,100.0035,99.9981
,60.82392,83.37118,76.80475,77.96799,99.981064,93.05425,100.00602,89.39282,93.66436,93.40342,98.06008,97.88401,100.042946,41.7384,96.430626,99.56347,99.98459,100.00223,98.65143,99.998,100.00013,67.551155,100.027794,100.00289,99.998116
