V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
-0.020804178,60.738533,79.4103,80.319016,86.54254,87.28381,84.7558,81.256454,88.0498,83.39484,84.07458,81.410164,81.785194,85.171555,86.14012,86.13111,84.67198,80.879295,84.58588,84.3963,84.626045,86.71334,85.078545,84.80062,69.883965,86.3877
-0.026232123,60.663788,79.41899,80.33747,86.54243,87.283875,84.76904,81.250015,88.04953,83.39484,84.07458,81.41022,81.77625,85.17154,86.13536,86.131096,84.67198,80.82149,84.58587,84.39631,84.626045,86.712654,85.07842,84.80062,70.77239,86.38952
-0.03237969,60.644695,79.413124,80.3223,86.54257,87.293274,84.76199,81.262825,88.04979,83.39484,84.07458,81.4102,81.78355,85.17149,86.14548,86.13111,84.671974,80.87031,84.58588,84.3963,84.626045,86.713165,85.07856,84.80061,69.96597,86.38894
-0.039041042,60.654552,79.42055,80.33824,86.54245,87.292694,84.77189,81.25304,88.049515,83.39484,84.07458,81.41024,81.77437,85.17152,86.124725,86.13109,84.67196,80.79676,84.58588,84.39631,84.626045,86.71338,85.07845,84.80061,70.93645,86.38866
-0.04606778,60.590584,79.415085,80.32459,86.542595,87.30116,84.76675,81.266785,88.049774,83.39484,84.07458,81.41023,81.781975,85.17144,86.12999,86.13111,84.67198,80.85884,84.58588,84.3963,84.626045,86.71352,85.07857,84.80061,70.111404,86.389915
-0.053395063,60.606255,79.421394,80.33876,86.542465,87.30008,84.77415,81.25279,88.049484,83.39484,84.07458,81.410255,81.77262,85.1715,86.09129,86.13108,84.67198,80.765236,84.58588,84.3963,84.626045,86.71362,85.07847,84.80061,69.13214,86.389885
-0.060994223,60.525784,79.41618,80.32618,86.5426,87.307816,84.770454,81.268234,88.04976,83.39484,84.07458,81.41025,81.780464,85.17138,86.09213,86.13111,84.67198,80.84379,84.58588,84.39631,84.626045,86.713776,85.078575,84.80061,69.50759,86.39065
-0.06881999,60.548336,79.42149,80.3391,86.54271,87.306335,84.77596,81.24855,88.04947,83.39484,84.07458,81.41027,81.77091,85.17147,86.032455,86.13108,84.67197,80.724686,84.58588,84.39631,84.626045,86.713806,85.07848,84.80061,70.38958,86.39074
-0.07678448,60.44615,79.416374,80.32726,86.542595,87.31349,84.77338,81.26669,88.04974,83.39484,84.07458,81.41026,81.77902,85.17134,86.02875,86.13111,84.67198,80.8234,84.58588,84.39632,84.626045,86.71395,85.078575,84.80062,69.55,86.391174
,60.476925,79.42077,80.33932,86.54268,87.31167,84.77745,81.23877,88.04943,83.39484,84.07458,81.41028,81.76922,85.171455,85.94394,86.131065,84.67197,80.67233,84.58588,84.39631,84.626045,86.71394,85.07848,84.80061,70.49842,86.39131
,60.345303,79.41556,80.32798,86.54256,87.31835,84.77569,81.26103,88.04972,83.39484,84.07458,81.41028,81.777596,85.171295,85.93504,86.1311,84.67198,80.795006,84.58588,84.39632,84.626045,86.71408,85.078575,84.80062,69.64393,86.39156
,60.386066,79.41911,80.33944,86.54265,87.31839,84.77865,81.22031,88.04939,83.39484,84.074585,81.41029,81.76745,85.17144,85.82004,86.13106,84.67198,80.87109,84.58588,84.39632,84.626045,86.71405,85.0785,84.80061,70.66571,86.3917
,60.213226,79.413635,80.32838,86.54253,87.309975,84.77749,81.24901,88.04968,83.39484,84.07458,81.41029,81.776146,85.17126,85.804825,86.131096,84.67198,80.83297,84.58588,84.39632,84.626045,86.71418,85.07858,84.80061,69.79324,86.39184
,60.26644,79.41637,80.339485,86.542404,87.310486,84.77962,81.18686,88.04935,83.39484,84.07458,81.41031,81.76548,85.171425,85.65451,86.13105,84.67198,80.883804,84.58588,84.39632,84.626045,86.71413,85.0785,84.80061,70.89765,86.39195
,60.033905,79.410385,80.32853,86.54256,87.30218,84.77888,81.22598,88.04965,83.39484,84.07458,81.41029,81.77459,85.17123,85.63129,86.131096,84.67198,80.85831,84.58588,84.39632,84.626045,86.71425,85.07858,84.80061,70.004715,86.39202
,60.103054,79.41228,80.33947,86.542435,87.30313,84.78038,81.23538,88.0493,83.39484,84.07458,81.41031,81.763176,85.17142,85.442566,86.13105,84.67198,80.89219,84.58588,84.39632,84.626045,86.714195,85.0785,84.80061,71.2025,86.39213
,59.780956,79.405525,80.32843,86.54258,87.29492,84.77992,81.20097,88.049614,83.39484,84.07458,81.41031,81.7728,85.1712,85.4093,86.13109,84.67198,80.87558,84.58588,84.39632,84.626045,86.71431,85.078575,84.80061,70.28922,86.39216
,59.870953,79.40648,80.33939,86.542465,87.296265,84.78096,81.214264,88.04924,83.39484,84.07458,81.41031,81.760345,85.17141,85.4612,86.13104,84.67197,80.89773,84.58588,84.39632,84.626045,86.71425,85.0785,84.80061,69.2744,86.39224
,59.409763,79.39867,80.32811,86.5426,87.28815,84.78067,81.170815,88.04956,83.39484,84.07458,81.41031,81.77061,85.171196,85.316696,86.13108,84.67198,80.887474,84.58588,84.39632,84.626045,86.714355,85.078575,84.80061,69.74544,86.392265
,59.52733,79.39844,80.33927,86.5427,87.28983,84.77971,81.18968,88.04917,83.39484,84.07458,81.41032,81.7567,85.17139,85.37703,86.131035,84.67196,80.84019,84.58588,84.39631,84.626045,86.714294,85.0785,84.80061,70.83138,86.39233
,58.843475,79.3892,80.32757,86.54257,87.28177,84.780685,81.13419,88.04951,83.39484,84.07458,81.41032,81.76777,85.171165,85.2316,86.13108,84.67198,80.88,84.58588,84.39632,84.626045,86.7144,85.078575,84.80061,69.93986,86.392334
,58.996807,79.36958,80.33909,86.54266,87.28372,84.7798,81.160805,88.049095,83.39484,84.07458,81.410324,81.751755,85.17138,85.29852,86.13103,84.67198,80.819176,84.58588,84.3963,84.626045,86.71433,85.0785,84.80061,68.9439,86.39239
,57.95076,79.375534,80.32676,86.54254,87.275665,84.78075,81.08903,88.04944,83.39484,84.07458,81.410324,81.76394,85.17116,85.151566,86.13107,84.67198,80.87063,84.58588,84.39631,84.626045,86.71443,85.078575,84.80061,69.36313,86.39239
,58.146446,79.35213,80.33884,86.54243,87.2778,84.77997,81.12634,88.048996,83.39484,84.07458,81.410324,81.77503,85.17138,85.22345,86.13102,84.67198,80.792625,84.58588,84.3963,84.626045,86.71437,85.0785,84.800606,70.35362,86.39243
,58.624405,79.35972,80.32565,86.54257,87.2697,84.78087,81.03202,88.0484,83.39484,84.07458,81.410324,81.76691,85.17115,85.07437,86.131065,84.67198,80.85865,84.58588,84.3963,84.626045,86.71446,85.078575,84.80061,69.45882,86.392426
,57.818356,79.33183,80.3385,86.54245,87.2719,84.780205,81.08421,88.04903,83.39484,84.07458,81.410324,81.77729,85.17137,85.149826,86.131004,84.67198,80.7589,84.58588,84.3963,84.626045,86.7144,85.07849,84.80061,70.5221,86.39246
,58.379,79.34111,80.32418,86.54259,87.26366,84.78102,80.95789,88.04843,83.39484,84.07458,81.41033,81.769196,85.17114,84.997955,86.13106,84.67198,80.842926,84.58588,84.3963,84.626045,86.7145,85.07857,84.80061,69.611465,86.392456
,57.488903,79.30786,80.33806,86.54268,87.26577,84.78047,81.03107,88.04906,83.39484,84.07458,81.41033,81.77903,85.171364,85.075836,86.131,84.67197,80.71582,84.58588,84.3963,84.626045,86.71445,85.07849,84.80061,70.756134,86.39248
,58.13032,79.31881,80.32225,86.542564,87.25727,84.781204,80.85797,88.04847,83.39484,84.07458,81.41034,81.770935,85.171135,84.92049,86.13105,84.67198,80.82172,84.58588,84.39631,84.626045,86.71454,85.07856,84.80061,69.82731,86.39248
,57.15395,79.27905,80.33749,86.54265,87.259094,84.78077,80.961296,88.04912,83.39484,84.07458,81.41033,81.78035,85.17136,84.9998,86.13099,84.67197,80.6608,84.58588,84.39632,84.626045,86.71448,85.07848,84.80061,71.06398,86.3925
,57.874035,79.291565,80.3197,86.54253,87.250145,84.7814,80.71767,88.0495,83.39484,84.07458,81.41034,81.77222,85.171135,84.84021,86.131035,84.67198,80.79231,84.58588,84.39632,84.626045,86.71457,85.07856,84.80061,70.11652,86.392494
,56.80716,79.243774,80.33674,86.54241,87.25299,84.78106,80.86534,88.04907,83.39482,84.07458,81.41034,81.78134,85.17136,84.92,86.130974,84.67197,80.87144,84.58588,84.39632,84.626045,86.71452,85.078476,84.80061,69.09245,86.39251
,57.60409,79.25748,80.316315,86.54256,87.26637,84.781586,80.51172,88.04947,83.39484,84.07458,81.41034,81.773125,85.17112,84.75542,86.13102,84.67198,80.83181,84.58588,84.39632,84.626045,86.714615,85.07855,84.80061,69.584335,86.39251
,56.44007,79.19966,80.33573,86.542435,87.267784,84.78132,80.72615,88.04903,83.39484,84.07458,81.41034,81.782074,85.17134,84.83461,86.13097,84.67198,80.884056,84.58588,84.39632,84.626045,86.71457,85.07847,84.80061,68.57149,86.392525
,57.312584,79.08414,80.31174,86.54258,87.279236,84.78175,80.195145,88.04943,83.39484,84.07458,81.41034,81.77369,85.17112,84.664276,86.131004,84.67198,80.858086,84.58588,84.39632,84.626045,86.71466,85.078545,84.80061,68.975845,86.392525
,56.04205,79.13296,80.334366,86.542465,87.27964,84.78154,80.51221,88.04897,83.39484,84.07458,81.41034,81.78256,85.17133,84.74156,86.13096,84.67198,80.89229,84.58588,84.39632,84.626045,86.714615,85.07846,84.80061,69.957275,86.39254
,56.98946,78.98553,80.305405,86.5426,87.28966,84.7811,79.68698,88.04939,83.39484,84.07458,81.41034,81.77394,85.17112,84.56471,86.13099,84.67198,80.87585,84.58588,84.39632,84.626045,86.71471,85.07854,84.80061,69.00971,86.39253
,55.60007,79.05112,80.33248,86.542694,87.28931,84.78154,80.162964,88.04892,83.39484,84.07457,81.41034,81.78286,85.17132,84.63815,86.13094,84.67198,80.80343,84.58588,84.39632,84.626045,86.71467,85.078445,84.80061,70.05327,86.39254
,56.62208,78.8649,80.29642,86.54257,87.29824,84.781136,78.84444,88.04936,83.39484,84.07457,81.41035,81.77388,85.171104,84.45409,86.130974,84.67198,80.86431,84.58588,84.39632,84.626045,86.71476,85.07853,84.80061,69.09384,86.39254
,55.098522,78.950424,80.32982,86.542656,87.29732,84.78156,79.56007,88.048874,83.39484,84.07457,81.41034,81.782974,85.171295,84.520966,86.130936,84.67198,80.77033,84.58588,84.39632,84.626045,86.71472,85.07843,84.80061,70.20213,86.392555
,56.194645,78.71777,80.28319,86.542534,87.30541,84.78119,79.98519,88.04932,83.39484,84.07457,81.41035,81.77349,85.17109,84.32875,86.13096,84.67198,80.84914,84.58588,84.39632,84.626045,86.71481,85.078514,84.80061,69.23131,86.39254
,54.51905,78.82625,80.32595,86.54243,87.30402,84.78159,78.87694,88.04883,83.39484,84.07457,81.41035,81.782906,85.17127,84.385056,86.13093,84.67198,80.72795,84.58588,84.39632,84.626045,86.71481,85.078415,84.80061,70.40868,86.392555
,55.68748,78.539185,80.262886,86.54257,87.311455,84.781265,79.48905,88.04927,83.39484,84.07457,81.410355,81.77272,85.17107,84.18318,86.13093,84.67198,80.82869,84.58588,84.39632,84.626045,86.71472,85.07849,84.80061,69.42662,86.392555
,53.84078,78.67294,80.3201,86.54245,87.30968,84.78165,77.927155,88.04877,83.39484,84.07457,81.41035,81.78262,85.171234,84.223114,86.13099,84.67197,80.673874,84.58588,84.39632,84.626045,86.71474,85.07839,84.80061,70.68047,86.392555
,55.076504,78.32396,80.336876,86.54259,87.316574,84.78137,78.79969,88.04923,83.39484,84.07457,81.410355,81.771484,85.171036,84.3094,86.13095,84.67198,80.80047,84.58588,84.39632,84.626045,86.71463,85.07847,84.80061,69.686615,86.392555
,53.041397,78.48375,80.32479,86.54268,87.31676,84.781715,76.63588,88.04871,83.39484,84.07456,81.410355,81.782104,85.171165,84.17917,86.131004,84.67197,80.874695,84.58588,84.39632,84.626045,86.71466,85.07836,84.80061,71.02672,86.392555
,54.33326,78.06717,80.33747,86.54256,87.308365,84.78148,77.849655,88.049194,83.39484,84.07457,81.410355,81.76965,85.171,84.2408,86.13096,84.67198,80.83712,84.58588,84.39632,84.626045,86.71455,85.078445,84.80061,70.02261,86.392555
,52.099987,78.25087,80.32826,86.54245,87.30905,84.78102,74.92461,88.04865,83.39482,84.07456,81.410355,81.78129,85.17109,84.12685,86.131004,84.67197,80.88605,84.58588,84.39632,84.626045,86.714584,85.078316,84.80061,68.95096,86.39256
,53.42661,77.76488,80.33759,86.54259,87.300766,84.78134,76.55379,88.04914,83.39484,84.07456,81.410355,81.767,85.17094,84.16356,86.130974,84.67198,80.86169,84.58588,84.39632,84.626045,86.71446,85.07841,84.80061,69.50829,86.392555
,51.002487,76.96828,80.33092,86.54268,87.30191,84.78085,72.72107,88.04859,83.39484,84.07456,81.41035,81.78005,85.17097,84.0676,86.13102,84.67198,80.76038,84.58588,84.39632,84.626045,86.71452,85.078255,84.800606,68.46335,86.39257
,52.327747,77.31199,80.33729,86.54256,87.29375,84.78119,74.81096,88.049095,83.39484,84.07456,81.410355,81.763176,85.17085,84.0793,86.13098,84.67198,80.84464,84.58588,84.39632,84.626045,86.714386,85.07836,84.80061,68.93055,86.392555
,49.750595,76.45064,80.333,86.54263,87.29532,84.780685,69.97014,88.04852,83.39484,84.07456,81.410355,81.778206,85.17079,84.00226,86.13103,84.67198,80.71328,84.58588,84.39632,84.626045,86.71446,85.07818,84.800606,70.018425,86.39257
,51.02077,76.82162,80.33648,86.54251,87.28726,84.78106,72.51161,88.04904,83.39484,84.07456,81.41036,81.78675,85.17073,83.98883,86.13099,84.67198,80.82134,84.58588,84.39632,84.626045,86.714325,85.078285,84.800606,69.022896,86.392555
