V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
-0.18407843,5.7339873,7.6586633,9.781494,10.993919,7.2551723,9.996362,8.860148,10.612603,6.87766,2.404768,1.5479113,0.86120486,2.2847366,5.4037786,6.040863,5.865883,7.0768414,4.7438583,5.508501,4.353718,4.924877,6.655877,7.979066,8.136574
-0.18453965,5.761695,7.981459,9.76545,10.900811,7.209632,10.013162,8.862703,10.617286,6.701539,2.3678908,1.3544294,0.8173642,2.2155793,5.4082537,6.144286,5.759513,7.008005,4.7396984,4.686761,4.3526483,4.9261312,6.666399,7.9791803,8.134944
-0.18293443,5.754051,7.7396793,9.783596,10.917704,7.239984,10.000037,8.858138,10.614334,6.857108,2.3113449,1.3758683,0.8064904,2.2041614,5.406127,6.3040743,6.3091855,6.9616423,4.7417517,4.6951156,4.3503056,4.954427,6.590351,7.983413,8.135134
-0.17979476,5.7756743,8.024158,9.764552,10.811143,7.2383146,10.016053,8.861065,10.619013,6.681793,2.3186955,1.140003,0.8167212,2.0853465,5.412984,6.3426514,6.2147455,6.961196,4.738875,4.0307064,4.3493934,4.96799,6.598028,7.9617004,8.134338
-0.17586717,5.77087,7.7942314,9.784507,10.832746,7.2406387,10.004407,8.857647,10.616198,6.8378267,2.2737947,1.1671163,0.80693567,2.06081,5.4091334,6.385784,7.0479665,6.8221703,4.739912,3.991241,4.347336,4.9716315,6.547162,7.967759,8.134399
-0.17190275,5.7856703,8.045824,9.762891,10.713346,7.265414,9.987725,8.860641,10.620805,6.6642847,2.2783616,0.8825861,0.81226206,1.8761923,5.420545,6.3932676,6.952969,6.9306974,4.737838,4.2115436,4.3465796,5.0517173,6.5900297,7.9796243,8.133732
-0.1684744,5.7840705,7.8239303,9.784469,10.738558,7.248277,10.005273,8.858845,10.618202,6.8193455,2.2480133,0.9167702,0.8006284,1.8364499,5.4136953,6.32705,7.5599813,6.7343793,4.7382584,4.0253286,4.3448133,4.989674,6.5566435,7.9692974,8.133724
-0.16590264,5.791372,8.046103,9.760529,10.607234,7.286728,9.9883995,8.861859,10.622636,6.6482344,2.2505047,0.60802174,0.8012533,1.6456206,5.4345083,6.3142633,7.5251164,6.899895,4.736662,4.2621107,4.344178,5.4433827,6.6576595,7.9786687,8.132859
-0.16427626,5.7931776,7.8281026,9.783603,10.63447,7.256979,10.005921,8.862644,10.620333,6.801137,2.2313845,0.6413832,0.78876567,1.611131,5.421989,6.248207,7.623351,6.7263484,4.7367363,4.050312,4.342705,5.0780897,6.5790944,7.9692435,8.132768
,5.792334,8.021776,9.757442,10.493086,7.3008614,9.988818,8.865956,10.616002,6.6330595,2.2323015,0.37330115,0.75829697,1.511837,5.4625106,6.2473497,7.8254223,6.861144,4.735435,4.2864323,4.3421574,6.038587,6.5673122,7.9769573,8.131323
,5.797579,7.8032284,9.781934,10.520455,7.2632227,10.0062475,8.870957,10.619244,6.78269,2.2204692,0.39445353,0.7425628,1.4973043,5.4397383,6.1925783,7.2750597,6.7735386,4.73533,4.0609837,4.3409643,5.5424366,6.5271673,7.9681063,8.1310425
,5.787888,7.9661827,9.753541,10.372511,7.307691,9.988879,8.8753605,10.6149845,6.618327,2.2203856,0.2226181,0.7111479,1.4681866,5.513989,6.269826,7.7316904,6.8221245,4.7342033,4.2801986,4.3404818,6.3577347,6.530953,7.9747787,8.128209
,5.7964506,7.742151,9.779411,10.398071,7.265051,10.006174,8.887201,10.618371,6.7635336,2.2131314,0.23006523,0.6951457,1.4638991,5.4799676,6.1878033,6.4152956,6.835973,4.734012,4.0551486,4.3395433,6.219306,6.660078,7.9659314,8.127392
,5.7769995,7.868376,9.748666,10.248769,7.307375,9.9885,8.8943615,10.614212,6.603713,2.2125866,0.1484778,0.6697371,1.4566936,5.5774565,6.3551245,6.5871935,6.7949333,4.7329206,4.2452374,4.339114,6.6203613,6.5488997,7.972233,8.121613
,5.788639,7.632987,9.775922,10.271011,7.261304,10.005624,8.91696,10.617708,6.7432537,2.2081852,0.14884341,0.6577108,1.4553912,5.549919,6.2400823,6.319024,6.858611,4.7326727,4.033996,4.338388,6.2992506,6.5949125,7.9622254,8.119538
,5.7580557,7.712891,9.742592,10.125358,7.299842,9.987612,8.929837,10.613661,6.5889816,2.2075362,0.147578,0.6427002,1.454451,5.6223955,6.458622,6.3477,6.781185,4.731408,4.187765,4.338009,6.2377834,6.5246468,7.9690137,8.122974
,5.7724423,7.458702,9.771276,10.144057,7.2510443,10.004514,8.968023,10.617241,6.721513,2.2048714,0.11623788,0.63601816,1.4531419,5.6106434,6.3192368,6.635433,6.827881,4.7310753,4.001117,4.337445,6.566573,6.5815387,7.9554467,8.121042
,5.7284994,7.2072325,9.735007,10.240916,7.2845516,9.986154,8.990657,10.613306,6.5739746,2.204286,0.11495793,0.6291884,1.4528246,5.6761847,6.556088,6.611931,6.7754965,4.730173,4.1163177,4.3371162,6.4570866,6.540303,7.964002,8.124353
,5.7452226,7.3665333,9.765206,10.178912,7.2331753,10.002748,8.965725,10.616959,6.6980743,2.20359,0.10362005,0.6261456,1.4523537,5.6590886,6.405607,7.029619,6.792633,4.728256,3.9611979,4.3366585,6.121269,6.642375,7.941142,8.122639
,5.77486,7.1136117,9.725504,10.274451,7.260364,9.984076,8.963474,10.613132,6.558614,2.2021685,0.102396846,0.6235392,1.4522114,5.6062117,6.614539,6.8305326,6.7726564,4.726342,4.0399656,4.3363805,6.201244,6.5815325,7.953965,8.125771
,5.7514553,7.278298,9.757332,10.210329,7.2062106,10.000211,8.943028,10.616848,6.672845,2.201726,0.09845424,0.62185276,1.4520211,5.6253805,6.4757485,7.5936317,6.7783127,4.723534,3.918928,4.3359747,6.1410713,6.7087226,7.9039063,8.124303
,5.778871,7.027426,9.713529,10.304629,7.225467,9.981351,8.943127,10.613124,6.5429096,2.2009294,0.09737229,0.62113,1.4519441,5.564624,6.6175213,7.147997,6.7683506,4.71943,3.966786,4.335743,6.630535,6.819976,7.927484,8.127193
,5.7563148,7.19348,9.747131,10.238713,7.1681705,9.996774,8.926042,10.616901,6.6459084,2.200649,0.09647548,0.62069845,1.451902,5.5938845,6.5121083,8.191516,6.774393,4.7156787,3.878269,4.335336,6.593482,6.8787255,7.774644,8.125991
,5.7816424,6.9472227,9.698344,10.331905,7.1773696,10.012811,8.927417,10.613273,6.5269756,2.200213,0.094868064,0.62046945,1.4518526,5.501897,6.569706,7.6918654,6.7550573,4.70757,3.9026866,4.335141,7.0575075,6.7902203,7.82795,8.128577
,5.7599626,7.1112,9.733887,10.264523,7.1166115,9.996734,8.91283,10.617114,6.6175823,2.200043,0.09435809,0.62032723,1.4518237,5.537355,6.5135202,8.3123455,6.770034,4.70357,3.8420625,4.334691,6.991401,6.70493,7.9104557,8.1276455
,5.783359,6.8713846,9.678957,10.356783,7.1130214,10.012866,8.91474,10.613579,6.5110273,2.1998973,0.09378147,0.6202946,1.4518031,5.4468026,6.485746,8.204501,6.708405,4.689265,3.850843,4.334515,6.9192104,6.7729883,7.7841997,8.129876
,5.7625318,7.0303245,9.716601,10.288259,7.048776,9.997354,8.902031,10.617488,6.588437,2.199731,0.093434334,0.62024546,1.4517789,5.467634,6.48758,8.105804,6.75086,4.686728,3.8119318,4.3340073,6.9304028,6.670168,7.887195,8.1292
,5.7841825,6.7982116,9.65401,10.379797,7.0291286,10.013434,8.903939,10.614044,6.495389,2.1996622,0.093277454,0.6202762,1.4517717,5.418346,6.383842,8.155792,6.5578337,4.6644526,3.8118541,4.3338323,6.6532497,6.68496,7.6828623,8.131049
,5.7641363,6.949534,9.6938925,10.3104515,6.96178,9.998612,8.892697,10.618022,6.5592995,2.1995873,0.09301329,,1.4517505,5.424777,6.4415092,7.8899074,6.66278,4.6657405,3.7883706,4.333301,6.5485477,6.6143856,7.831324,8.130593
,5.784254,6.725948,9.621657,10.401507,6.922696,10.014498,8.894197,10.614674,6.4804716,2.1995525,0.092855334,,1.4517412,5.406401,6.284746,7.9218774,6.2547374,4.6350327,3.7843957,4.3331237,6.6773796,6.603964,7.4782205,8.132071
,5.7648616,6.8673573,9.663819,10.331662,6.852709,10.000505,8.884192,10.618726,6.5311975,2.1995325,0.092758775,,1.4517455,5.4070354,6.3907547,7.655283,6.3828335,4.6421843,3.7709117,4.332649,6.7190475,6.5591116,7.7021313,8.1317835
,5.7836914,6.6527495,9.579372,10.422487,6.791855,10.016036,8.884968,10.615482,6.466753,2.199515,0.09267497,,1.4517343,5.4012895,6.2226324,7.6942773,5.8981752,4.6041684,3.7660065,4.3324876,6.55811,6.5934157,7.1342535,8.13294
,5.7647705,6.782179,9.623666,10.35248,6.719083,10.003037,8.876142,10.619606,6.505254,,0.09265041,,1.4517403,5.399664,6.413436,7.4163785,5.9662504,4.6180606,3.7583477,4.332688,6.494935,6.563219,7.4283204,8.132764
