V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000
-0.01895719,9.478,9.616191,9.908187,10.554852,9.365155,10.01358,10.080738,8.666075,10.03233,9.504226,8.937755,4.9871864,5.5734987,5.903534,8.429182,9.329744,10.185711,10.178971,9.743286,9.832626,2.5919213,9.303162,6.5077186,7.1600037
-0.021814793,9.485453,9.622766,9.914103,10.554294,9.356818,10.01056,10.035347,8.664552,10.028433,9.5044,8.844333,4.8799953,5.418333,6.151492,8.912031,9.371804,10.185417,10.180055,9.742516,9.834604,2.5808024,9.402004,6.498477,7.374302
-0.025460757,9.47891,9.622527,9.914526,10.554853,9.370795,10.020464,10.068502,8.66507,10.02964,9.510273,8.905481,4.9705706,5.406415,6.0495815,8.505383,9.353733,10.185561,10.179823,9.743031,9.833498,2.501196,9.447639,6.53369,7.3093123
-0.029766887,9.485794,9.631025,9.920429,10.554293,9.362048,10.037116,9.993568,8.66307,10.032785,9.509308,8.793746,4.8478026,5.277791,6.352736,8.543104,9.219463,10.185256,10.180845,9.742594,9.8355875,2.486835,9.467784,6.570969,7.5252743
-0.034629066,9.479772,9.630524,9.92075,10.554864,9.376955,10.027239,10.030867,8.662862,10.031816,9.518309,8.848169,4.9300966,5.2553215,6.2455907,8.884912,9.229751,10.185393,10.180536,9.742846,9.834435,2.4010537,9.539781,6.687135,7.4685864
-0.04001609,9.486093,9.642306,9.927053,10.554314,9.367821,10.045035,9.958466,8.660072,10.034198,9.515748,8.720103,4.786071,5.1547985,6.5927296,8.214495,9.144336,10.185141,10.181578,9.742838,9.836774,2.377929,9.514,6.709446,7.6975527
-0.045938227,9.48067,9.641314,9.927579,10.554884,9.383632,10.033394,9.991594,8.659121,10.033455,9.528679,8.767479,4.862687,5.126308,6.4916162,8.457623,9.207554,10.185231,10.181157,9.742815,9.835507,2.3060908,9.589035,6.8808756,7.672597
-0.05239331,9.48641,9.657776,9.934759,10.554355,9.374161,10.051397,9.928181,8.655217,10.035317,9.524002,8.6163645,4.69071,5.046082,6.8453197,8.197796,9.113134,10.185126,10.182261,9.743291,9.838335,2.2822747,9.533999,6.845227,7.726143
-0.059330244,9.481647,9.65608,9.935924,10.5549135,9.390755,10.038402,9.955912,8.653501,10.034744,9.541811,8.656822,4.764328,5.0139923,6.765542,8.19478,9.11055,10.185133,10.181705,9.743015,9.836844,2.2251844,9.618879,7.041132,7.7388744
-0.06663938,9.486761,9.678432,9.944459,10.554415,9.402966,10.056035,9.900898,8.648179,10.036216,9.534443,8.475393,4.5583863,4.9851894,7.080907,8.126877,9.044092,10.185234,10.182903,9.744074,9.840563,2.1958132,9.533291,6.8988404,7.561363
,9.482708,9.67597,9.946835,10.554951,9.386781,10.042027,9.923197,8.645665,10.035779,9.558228,8.504304,4.6310673,4.9240627,7.0264874,8.173574,9.100445,10.185171,10.182196,9.743542,9.838689,2.1647217,9.644077,7.1556325,7.5890045
